S.No,Date,Time,Title,Download status,Publisher_info,pdf_link
31,06-08-2024,22:52:52,URGENT NOTIFICATION FOR COMPLETION OF REGISTRATION PROCESS,0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?WLIJsQnGhwCzT4nZ7c4by0PSe7rjq5tadP11NWq9JqsIlR42z7J0zW8oTSrVCMm2dkQC9Nt8fJ5yRlSTGY+2IOo2VCQtwOSmfj9g4sixkc24BVcTfyl3xpHNTV6qIFkF3ZIJPKFzWd+vyhqsRmf2unYAc78MnviawcKPfZT83gyO5awrC0571qqhtwX28AnbU4j1ob3db+pdal2R31qmbw==
32,06-08-2024,22:52:52,Timetable for M.Sc.(Mathematics) Semester-I for 2024,0,"BHAWNA GUPTA, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?vwc+9Dulom5ngpBT9dSdWviSmvyNX56S1ZebFGauXO3owrVgt3Mz6buKHT27IVPwiIZQ3SmTeKSCJTcJVUPYcwY4gZh+31emFTaG5XTbWatgxozfs8kHI74GesHrb5QtRwXGYRdMxjhPxDmAvjRaW0ofqDXQh4M3a+jWV9aAeuEZDRFfFNemYrRGxJSDoL3+QWeuiMVpEkIFJrrc9aDR5cX4kOR1bqrXq5cVtjCqz9k=
33,06-08-2024,22:52:52,B.Tech Project guidelines for ECAM students-East Campus,0,"C.S.VINITHA, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING(EAST)",https://www.imsnsit.org/imsnsit/plum_url.php?FmKI5q1sKpFiaMLCL2iOhS6+D0NN2DORAiMjd6jKRfhLLrTtERRrzEYIhQnzrgIyIZD6s3J8OLAqvl/7+GGnW23J0BRKZ0+U844Fh1JatO6LMT5ZhkTUzLFRqCemfg8VlrDdZ3XZp0f4ikCxsoE0ujAAHXbljSDbqx+/sQyrZXJrSHdUhFGiiB8rEnC+g9HW0pzvJm+zQTa1zBOBOSk3NQ==
34,06-08-2024,22:52:52,1st Year Allotment Notice Saraswati and Alaknanda hostel,0,"GURCHARAN KAUR, HEAD CLERK, HOSTEL",https://www.imsnsit.org/imsnsit/plum_url.php?qvoSbnTd/5n0lhtBfmMhbUdrZ7YZPrxrOvaWT3nc7LXjWqe1TjNYre3O//CbyzWIA/RpLzIPkpSdBzCy7CPjoicyF7xRhA7b7xPVtdUFrCbiiM6/JiDXTjie17VnR3yE+5WidpfzxSl9Ya23XWS5bCibWRmJ+OPSTWVLdqSEpi64cPN5pJrXMEHZXz1iQaxf0D3N5yCM7ffPuw46h440Rg==
35,06-08-2024,22:52:52,"B.E. consolidated result for NSIT students which is declared by University of Delhi on 5th August, 2024",0,"LAMBODAR MISHRA, DATA PROCESSOR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?HQbdhIJJFzPjof0uRI6GbURGu1S70Y1n2tSmoqgUIvaBAw6prwP8cx30YChdvbg3rjvfK+SrG8P8iuJ/Socpb8bW4QN28mt3VnugqdynqDZRIqCOVF8A8ay7DRdeOGBmDQQe55dsZpwqsdXN4HIuveemY1iL9omw32fAPAy/WeEE/wwObbnpQPqf51lFccTMdx1u+Zgpbefxl2/rC0VPwQ==
36,06-08-2024,22:52:52,B.Tech. (ME/MPAE) 7th Semester – Project I (MEMEC22/MPMEC22): Submission of Consent Form 2024-25,0,"VINAY PANWAR, ASSISTANT PROFESSOR, MECHANICAL ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?sjo433YrLXrPRmM2UTvJoeZi3G0jRi4PcWZ70MVnaga2Q7YPDJfYHInKbFkXNUofC2U5teO16PeWUm8VA2zQ9HU8EaANZQnlGRIuwGkMwN1sZrl6MR16Nc47jC3MYj2+ykh7hWi0Y8ZLY0W/dYyfUCeCy7IHj1Ck9fSpkwFuMfu7D8ok5V19nVsMdcsuGAyZwqEqeb2ZkBpAx6OiVEGmOb1p5kjIhyxqvDDNNSYciJQ=
37,05-08-2024,22:52:52,"Invitation to Orientation cum Induction Program for newly admitted students for AY 2024-25 at NSUT, West Campus.",0,"PUNIT, JUNIOR MECHANIC, WEST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?fJgiEb5Q5HsgKMM7UbRQYRQEP4hS9d2qTf7lbInENsYZ6QujeRC9Or3fyUCl66MNinW1wHm5XD2Cx/+Pjd0NsAcu201k3GhDhSPeh1PN81715Gyia1C4x+lklrj/5Wo9A7zGdVhnK+J8Hc1QhQDBj/tnPNe69wL6jZyytyCqEm8NMqcSTmw/Zw12nlpHi9/BU3Mi5rtIm9yKbb4E8IHjW2u3KOvXpKP7eIOq0G0n3nAwKvfv8wEw+4sUalWXisnoiPoDH1Djl4+9k/yiGXF4U4AlyQ13PxATEYcGvqPgtjMchBrDlmT3SwJWydoZ9LwI
38,05-08-2024,22:52:52,"Orientation Schedule for West Campus, 06.08.2024",0,"NEHA GUPTA, ASSOCIATE PROFESSOR, ARCHITECTURE AND PLANNING",https://www.imsnsit.org/imsnsit/plum_url.php?vkjK2yB79iQa0eLlZoMg4QfRkeKsEM9/u2J1PNSXLZouphr5w49jwyJQMWPC7rAgii0VpOvzxWlXG80chgs3fhKL1rKhFRjoi9Y3TMaabdwAYVinM8/O4HH5xn3sTzCBc1rYFw6PsyrYh2n1+Q0fLItq5rjcmlbYXxUF28Mt66ZfSsTa0vajy4/R3/0ROahikTrm2XAVH+Ca8R2wrYc/4lWlI0gAMjKJnvX0xD680wk=
39,05-08-2024,22:52:52,UTA notice for Mtech Bioinformatics - 1st and 3rd semester,0,"Published By: Dr. AKHILESH DUBEY, COORDINATOR, BIOLOGICAL SCIENCES AND ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?4hxl3jiFobfTVcvd3Mhr6I6Y+ZkXI+vYxeKFlKCjcj2V47YiB9dhk+ozosUDORtBaMw6+rItj0N9CYh3YhD3BffLiY0BDsKowUqMyYdSrCu6yGcMOD27SKngpUMdiB/ZkTzhUCBOHllCtzxuB9MezY7DVm1Dk64tsae4ZsdKar0dv4MrVYCDnlo+/du4N7pL
40,04-08-2024,22:52:52,ATTENDANCE GUIDELINES ODD SEM 2024-25,0,"Published By: Dr. SUJATA SENGAR, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?FxzNS39d8XiC73hYW7b8EqIzxlgdHLqScQI10sIN5F0jfWjr+Aoz9ih3Nb+9h49S6nvjSBfi2jik62fmgT0oc5B2BCnBnASn6Fz3fh9wovCfuRkF2sc/pFt1rtgXY3qx0kvyc5/stl/RTwKNHdBa6eR6aQ2PzNAYuliF/TVNIpvd7MaM8s6qrGre1iQCTsYwJ6lQV3FCL27LEmumYp9efxk1EwXPzlQBKiyAz5OpY7VS1I4o7hzywG5k3M/BBuGx
41,04-08-2024,22:52:52,B.Tech Time Table (Physics)  of Main Campus (2024-2025) for odd term,0,"Published By: DR PARGIN BANGOTRA, ASSISTANT PROFESSOR, PHYSICS",https://www.imsnsit.org/imsnsit/plum_url.php?8+/ECT95pLu2OK0qWW6mRFFss4ZVkHnlO7mdbYllq9NO9DrtE4fxpY4Lj1Ku6jAEPFA1QvL/XLtHzm6PE26wavnPeB11n+0IlGDFdSqLbTPqYEdxSBN0lCZjspcyG/iyY5lXthmYQBPqYScRCuyKCLyNffzlcwT84fk9/g8IY/ggZLCXiDCbG/8izmKQ5uSUsU7XvByo4+So7jfnRkx91+LzDJa/WTbrHCM/iYNKSl0=
